PROGRAM,VEHICLE,MISSION_FLTno,LAUNCH_SITE,LAUNCH_YEAR,DURATION_DHM,ORBITS,DISTANCE_sm
SHUTTLE MISSION,Columbia,STS-1,EAFB,1981,2:06:20,36,"933,757"
SHUTTLE MISSION,Columbia,STS-2,EAFB,1981,2:06:13,36,"933,757"
SHUTTLE MISSION,Columbia,STS-3,White Sands,1982,8:00:04,129,"3,900,000"
SHUTTLE MISSION,Columbia,STS-4,EAFB,1982,7:01:11,112,"2,900,000"
SHUTTLE MISSION,Columbia,STS-5,EAFB,1982,5:02:14,81,"1,850,000"
SHUTTLE MISSION,Challenger,STS-6,EAFB,1983,5:00:23,80,"1,820,000"
SHUTTLE MISSION,Challenger,STS-7,EAFB,1983,6:02:23,98,"2,220,000"
SHUTTLE MISSION,Challenger,STS-8,EAFB,1983,6:01:08,98,"2,220,000"
SHUTTLE MISSION,Columbia,STS-9,EDW,1983,10:07:47,148,"3,330,000"
SHUTTLE MISSION,Challenger,41-B,KSC,1984,7:23:15,127,"2,870,000"
SHUTTLE MISSION,Challenger,41-C,EAFB,1984,6:23:40,107,"2,880,000"
SHUTTLE MISSION,Discovery,41-D,EAFB,1984,144:56:04,97,"2,210,000"
SHUTTLE MISSION,Challenger,41-G,KSC,1984,8:05:23,133,"3,400,000"
SHUTTLE MISSION,Discovery,51-A,KSC,1984,7:23:44,127,"2,870,000"
SHUTTLE MISSION,Discovery,51-C,KSC,1985,3:01:33,48,"1,242,566"
SHUTTLE MISSION,Discovery,51-D,KSC,1985,6:23:54,110,"2,889,785"
SHUTTLE MISSION,Challenger SL-3,51-B,EAFB,1985,7:00:08,110,"2,900,000"
SHUTTLE MISSION,Discovery,51-G,EAFB,1985,7:01:39,112,"2,916,127"
SHUTTLE MISSION,Challenger SL-2,51-F,EAFB,1985,7:22:45,126,"2,850,000"
SHUTTLE MISSION,Discovery,51-I,EAFB,1985,7:03:17,111,"2,500,000"
SHUTTLE MISSION,Atlantis,51-J,EAFB,1985,4:01:44,65,"1,682,641"
SHUTTLE MISSION,Challenger,61-A,EAFB,1985,7:00:44,110,"2,501,290"
SHUTTLE MISSION,Atlantis,61-B,EAFB,1985,6:21:04,108,"2,466,956"
SHUTTLE MISSION,Columbia,61-C,EAFB,1986,6:02:03,96,"2,197,305"
SHUTTLE MISSION,Challenger,51-L,KSC,1986,0:00:01,0,0
SHUTTLE MISSION,Discovery,STS-26,EAFB,1988,4:01:00,64,"1,430,505"
SHUTTLE MISSION,Atlantis,STS-27,EAFB,1988,4:09:06,70,"1,812,075"
SHUTTLE MISSION,Discovery,STS-29,EAFB,1989,4:23:39,80,"1,800,000"
SHUTTLE MISSION,Atlantis,STS-30,EAFB,1989,4:00:56,64,"1,477,500"
SHUTTLE MISSION,Columbia,STS-28,EAFB,1989,5:01:00,80,"2,070,943"
SHUTTLE MISSION,Atlantis,STS-34,EAFB,1989,4:23:41,79,"1,800,000"
SHUTTLE MISSION,Discovery,STS-33,EAFB,1989,5:00:07,79,"2,045,056"
SHUTTLE MISSION,Columbia,STS-32,EAFB,1990,10:21:01,173,"4,509,972"
SHUTTLE MISSION,Atlantis,STS-36,EAFB,1990,4:10:19,71,"1,837,962"
SHUTTLE MISSION,Discovery,STS-31,EAFB,1990,5:01:16,76,"2,068,213"
SHUTTLE MISSION,Discovery,STS-41,EAFB,1990,4:02:10,66,"1,707,445"
SHUTTLE MISSION,Atlantis,STS-38,KSC,1990,4:21:54,79,"2,045,056"
SHUTTLE MISSION,Columbia,STS-35,EAFB,1990,8:23:05,142,"3,728,636"
SHUTTLE MISSION,Atlantis,STS-37,EAFB,1991,5:23:32,93,"2,487,075"
SHUTTLE MISSION,Discovery,STS-39,KSC,1991,8:07:22,134,"3,475,000"
SHUTTLE MISSION,Columbia,STS-40,EAFB,1991,9:02:14,146,"3,290,226"
SHUTTLE MISSION,Atlantis,STS-43,KSC,1991,8:21:21,142,"3,700,400"
SHUTTLE MISSION,Discovery,STS-48,EAFB,1991,5:08:27,81,"2,193,670"
SHUTTLE MISSION,Atlantis,STS-44,EAFB,1991,6:22:50,110,"2,890,067"
SHUTTLE MISSION,Discovery,STS-42,EAFB,1992,8:01:14,128,"3,349,830"
SHUTTLE MISSION,Atlantis,STS-45,KSC,1992,8:22:09,143,"3,274,946"
SHUTTLE MISSION,Endeavour,STS-49,EAFB,1992,8:21:17,141,"3,969,019"
SHUTTLE MISSION,Columbia,STS-50,KSC,1992,13:19:30,221,"5,758,332"
SHUTTLE MISSION,Atlantis,STS-46,KSC,1992,45:36:00,127,"3,321,007"
SHUTTLE MISSION,Endeavour,STS-47,KSC,1992,7:22:30,127,"3,310,922"
SHUTTLE MISSION,Columbia,STS-52,KSC,1992,9:20:56,159,"4,129,028"
SHUTTLE MISSION,Discovery,STS-53,EDW,1992,7:07:19,116,"3,034,680"
SHUTTLE MISSION,Endeavour,STS-54,KSC,1993,5:23:38,96,"2,501,277"
SHUTTLE MISSION,Discovery,STS-56,KSC,1993,9:39:29,148,"3,853,997"
SHUTTLE MISSION,Columbia,STS-55,EAFB,1993,9:23:39,160,"4,164,183"
SHUTTLE MISSION,Endeavour,STS-57,KSC,1993,9:23:44,155,"4,118,037"
SHUTTLE MISSION,Discovery,STS-51,KSC,1993,9:20:11,158,"4,106,411"
SHUTTLE MISSION,Columbia,STS-58,EDW,1993,14:00:12,225,"5,840,450"
SHUTTLE MISSION,Endeavour,STS-61,KSC,1993,10:19:58,163,"4,433,772"
SHUTTLE MISSION,Discovery,STS-60,KSC,1994,8:07:09,130,"3,439,704"
SHUTTLE MISSION,Columbia,STS-62,KSC,1994,13:23:16,224,"5,820,146"
SHUTTLE MISSION,Endeavour,STS-59,EAFB,1994,11:05:49,182,"4,704,835"
SHUTTLE MISSION,Columbia,STS-65,KSC,1994,14:17:55,236,"6,143,846"
SHUTTLE MISSION,Discovery,STS-64,EDW,1994,10:22:49,177,"4,576,174"
SHUTTLE MISSION,Endeavour,STS-68,EDW,1994,11:05:46,182,"4,703,000"
SHUTTLE MISSION,Atlantis,STS-66,EDW,1994,10:22:34,175,"4,554,791"
SHUTTLE MISSION,Discovery,STS-63,KSC,1995,8:06:28,129,"2,922,000"
SHUTTLE MISSION,Endeavour,STS-67,EDW,1995,16:15:08,262,"6,892,836"
SHUTTLE MISSION,Atlantis,STS-71,KSC,1995,9:19:22,153,"4,100,000"
SHUTTLE MISSION,Discovery,STS-70,KSC,1995,8:22:20,142,"3,700,000"
SHUTTLE MISSION,Endeavour,STS-69,KSC,1995,10:20:28,170,"4,500,000"
SHUTTLE MISSION,Columbia,STS-73,KSC,1995,15:21:52,256,"6,600,000"
SHUTTLE MISSION,Atlantis,STS-74,KSC,1995,8:04:30,129,"3,400,000"
SHUTTLE MISSION,Endeavour,STS-72,KSC,1996,8:22:00,142,"3,700,000"
SHUTTLE MISSION,Columbia,STS-75,KSC,1996,15:17:40,252,"6,500,000"
SHUTTLE MISSION,Atlantis,STS-76,EDW,1996,9:05:15,144,"3,800,000"
SHUTTLE MISSION,Endeavour,STS-77,KSC,1996,10:00:39,160,"4,100,000"
SHUTTLE MISSION,Columbia,STS-78,KSC,1996,16:21:47,271,"7,046,000"
SHUTTLE MISSION,Atlantis,STS-79,KSC,1996,10:03:18,159,"3,900,000"
SHUTTLE MISSION,Columbia,STS-80,KSC,1996,17:15:53,278,"7,043,950"
SHUTTLE MISSION,Atlantis,STS-81,KSC,1997,10:04:55,161,"3,900,000"
SHUTTLE MISSION,Discovery,STS-82,KSC,1997,9:23:37,149,"3,800,000"
SHUTTLE MISSION,Columbia,STS-83,KSC,1997,3:23:12,63,"1,500,000"
SHUTTLE MISSION,Atlantis,STS-84,KSC,1997,9:05:19,144,"3,600,000"
SHUTTLE MISSION,Columbia,STS-94,KSC,1997,15:16:44,251,"6,200,000"
SHUTTLE MISSION,Discovery,STS-85,KSC,1997,11:20:26,189,"4,725,000"
SHUTTLE MISSION,Atlantis,STS-86,KSC,1997,10:19:20,169,"4,225,000"
SHUTTLE MISSION,Columbia,STS-87,KSC,1997,15:16:34,251,"6,544,000"
SHUTTLE MISSION,Endeavour,STS-89,KSC,1998,8:19:46,138,"3,610,000"
SHUTTLE MISSION,Columbia,STS-90,KSC,1998,15:21:49,255,"6,375,000"
SHUTTLE MISSION,Discovery,STS-91,KSC,1998,9:19:53,154,"3,800,000"
SHUTTLE MISSION,Discovery,STS-95,KSC,1998,8:21:43,134,"3,644,459"
SHUTTLE MISSION,Endeavour,STS-88,KSC,1998,11:19:17,185,"4,650,000"
SHUTTLE MISSION,Discovery,STS-96,KSC,1999,9:19:13,153,"4,051,000"
SHUTTLE MISSION,Columbia,STS-93,KSC,1999,4:22:49,79,"1,796,000"
SHUTTLE MISSION,Discovery,STS-103,KSC,1999,7:23:11,120,"3,267,360"
SHUTTLE MISSION,Endeavour,STS-99,KSC,2000,11:05:38,181,"4,708,821"
SHUTTLE MISSION,Atlantis,STS-101,KSC,2000,9:20:09,155,"5,076,281"
SHUTTLE MISSION,Atlantis,STS-106,KSC,2000,11:19:12,203,"4,919,243"
SHUTTLE MISSION,Discovery,STS-92,EDW,2000,12:21:40,202,"5,331,301"
SHUTTLE MISSION,Endeavour,STS-97,KSC,2000,10:19:58,170,"4,476,164"
SHUTTLE MISSION,Atlantis,STS-98,EDW,2001,12:21:20,203,"5,369,576"
SHUTTLE MISSION,Discovery,STS-102,KSC,2001,12:19:49,201,"5,357,432"
SHUTTLE MISSION,Endeavour,STS-100,EDW,2001,11:21:30,186,"4,910,188"
SHUTTLE MISSION,Atlantis,STS-104,KSC,2001,12:18:35,200,"5,309,429"
SHUTTLE MISSION,Discovery,STS-105,KSC,2001,11:21:13,186,"4,912,389"
SHUTTLE MISSION,Endeavour,STS-108,KSC,2001,11:19:36,185,"4,817,649"
SHUTTLE MISSION,Columbia,STS-109,KSC,2002,10:22:10,165,"3,941,705"
SHUTTLE MISSION,Atlantis,STS-110,KSC,2002,10:19:43,170,"4,525,299"
SHUTTLE MISSION,Endeavour,STS-111,EDW,2002,13:20:35,217,"5,781,115"
SHUTTLE MISSION,Atlantis,STS-112,KSC,2002,10:19:58,170,"4,513,015"
SHUTTLE MISSION,Endeavour,STS-113,KSC,2002,13:18:47,215,"5,735,600"
SHUTTLE MISSION,Columbia,STS-107,,2003,15:22:20,255,"6,649,757"
SHUTTLE MISSION,Discovery,STS-114,EDW,2005,13:21:32,220,"5,796,419"
SHUTTLE MISSION,Discovery,STS-121,KSC,2006,12:18:37,202,"5,293,923"
SHUTTLE MISSION,Atlantis,STS-115,KSC,2006,11:19:06,186,"4,910,268"
SHUTTLE MISSION,Discovery,STS-116,KSC,2006,12:20:45,203,"5,330,398"
SHUTTLE MISSION,Atlantis,STS-117,EDW,2007,13:20:11,220,"5,809,363"
SHUTTLE MISSION,Endeavour,STS-118,KSC,2007,12:17:56,201,"5,274,977"
SHUTTLE MISSION,Discovery,STS-120,KSC,2007,15:02:23,238,"6,249,432"
SHUTTLE MISSION,Atlantis,STS-122,KSC,2008,12:18:22,202,"5,296,842"
SHUTTLE MISSION,Endeavour,STS-123,KSC,2008,15:18:11,,"6,577,857"
SHUTTLE MISSION,Discovery,STS-124,KSC,2008,13:18:13,217,"5,735,643"
SHUTTLE MISSION,Endeavour,STS-126,EDW,2008,15:20:30,251,"6,615,109"
SHUTTLE MISSION,Discovery,STS-119,KSC,2009,12:19:29,202,"5,304,106"
SHUTTLE MISSION,Atlantis,STS-125,EDW,2009,12:21:37,197,"5,276,000"
SHUTTLE MISSION,Endeavour,STS-127,KSC,2009,15:16:45,248,"6,547,853"
SHUTTLE MISSION,Discovery,STS-128,EDW,2009,13:20:54,219,"5,755,275"
SHUTTLE MISSION,Atlantis,STS-129,KSC,2009,10:19:16,171,"4,490,138"
SHUTTLE MISSION,Endeavour,STS-130,KSC,2010,13:18:06,217,"5,738,991"
SHUTTLE MISSION,Discovery,STS-131,KSC,2010,15:02:47,238,"6,232,235"
SHUTTLE MISSION,Atlantis,STS-132,KSC,2010,11:18:28,186,"4,879,978"
SHUTTLE MISSION,Discovery - 39th Flight,STS-133,KSC,2011,12:19:00,202,"5,304,140"
SHUTTLE MISSION,Endeavour - 25th Flight,STS-134,KSC,2011,15:17:39,248,"6,510,221"
SHUTTLE MISSION,Atlantis - 33rd Flight,STS-135,KSC,2011,12:18:27,200,"5,284,862"